M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24
0;0;0,284869976;4,264454178;0;0;0,035477427;2,919451067;0,22383069;0;0;0,171457388;0;0,025135704;0;0;1,89442636;0;0,655101108;0,446136659;0,275800683;0;0;0
0;0;0,215210577;4,352486968;0;0;0,077221959;3,281146827;0,347292024;0;0;0,256160773;0;0,053068866;0;0;2,475330155;0;2,680175111;2,184336593;1,265131163;0;0;0
0;0;0,198945108;4,399756085;0;0;0,089074995;3,403794227;0,349707039;0;0;0;0;0,041102593;0;0;3,405494203;0;2,321164521;0,521519113;1,851551917;0;0;0
0;0;0,188206617;4,410679621;0,011274391;0;0,107172866;3,525935847;0,403159894;0;0;0,098840684;0;0,066112647;0;0;2,367981955;0;3,102320974;0,29800563;2,460599093;0;0;0
0;0;0,19734098;4,415935784;0,018252355;0;0,100954353;3,615774708;0,430340325;0;0,006154676;2,642423097;0;0,070422377;0;0;2,355141487;0;2,744995446;0,514413307;2,813219167;0;0;0
0;0;0,172734739;4,233919372;0;0;0,080974118;3,402565914;0,337503465;0;0,007500669;2,309210321;0;0,036202725;0;0;2,792083035;0;2,635963631;2,745880636;2,309231236;0;0;0
0;0;0,280946791;4,572755904;0,039892278;0;0,1180495;3,767251043;0,473596467;0;0,053970162;3,476897868;0;0,060770145;0;0;3,676913819;0;1,481285522;1,389295646;2,134146745;0;0,161365103;0
1,470432476;0,151914991;2,153683115;0,79247485;0,382164582;0;3,368418876;1,981821079;0,313575318;3,951630627;0,454265041;0,051810789;0;0,218076849;1,372137358;0;0;0;0;0;0;0;3,431724312;0
1,237010728;0,274584938;2,538870643;0,494609794;0,540971142;0;2,963796857;2,334747202;0,312346787;4,125740756;1,571715492;0,042258237;0;0,266471752;0,363088798;0;0;0;0;0;0;0;4,595945061;0,009495202
1,652876767;0,226628577;2,562953406;1,457993663;0,652649123;0;3,557252662;2,168170382;0,415140394;4,548841642;1,204489374;0,12543642;0,023954199;0,330064681;0,309509005;0;0;0;0;0,010617301;0;0;4,569219833;0,050188664
1,339004065;0,127553036;1,820120457;0,862759332;0,30078872;0;3,799331427;1,314256458;0,285817627;4,388934173;0,346497275;0,105197557;0;0,17276967;0,307269477;0;0;0;0;0;0;0;5,072424327;0,115663552
1,220156362;0,175311508;2,278123446;0,920368798;0,361552007;0;3,427440282;1,226303405;0,344947014;4,01631849;0,345421092;0,081811699;0;0,2943342;0,261087343;0;0;0;0;0,064359136;0;0;4,577001369;1,598905732
1,319000525;0,15641037;2,167679256;0,962346395;0,360571331;0;3,5428985;1,186533359;0,386200064;3,699733465;0,235377602;0,072403122;0;0,221214536;0,176379034;0;0;0;0;0,088815049;0;0;3,352432616;2,169252291
1,430142612;0,097279141;2,071117513;0,77384315;0,330543881;0;3,513282931;1,581166412;0,307378286;3,380160167;0,203706199;0,024913125;0;0,234337842;0,304209871;0;0;0;0;0,046461467;0;0;4,40510418;0,081456555
0,656229893;0,102791667;1,371973575;0,572396611;0,202829757;0;2,621020394;1,112819087;0,202554892;3,758009871;0,344507999;0,02980299;0;0,237113224;0,205373214;0;0;0;0;0;0;0;4,615196511;0,072500353
1,547564038;0,204432633;1,725738006;1,394436003;0,266095313;0;3,021213977;1,778781143;0,295266742;3,983146178;0,430639195;0,06887626;0;0,261309479;0,296707369;0;0;0;0;0,00811816;0;0;4,007403464;0
0,751003278;0,137812456;2,439527082;0,56301024;0,440433988;0;2,810141063;1,497073079;0,227976481;3,841142683;0,459573295;0,043690325;0;0,272859101;0,224378391;0;0;0;0;0,003693747;0;0;3,820380464;0
0,337428185;0;1,516096253;0,660782633;0,206387444;0,208087168;2,096000084;1,368412577;0,243093327;3,229338874;0,373367055;2,787315883;0;0,139165869;0,263997925;0,022181541;0;0;0;0,117032466;0;0;4,223664471;0,053442802
0;0;0,756575044;4,13046723;0,130618815;0;0,163806217;3,557275199;0,409575719;0;0;0,829822567;0;0,128961114;0;0;0;0;0,240929924;0,988453793;0,260515995;0;5,061021352;0,056805025
0;0;0,304485676;4,340152946;0,04368708;0;0,143335284;3,691977879;0,46946295;0;0,0156236;2,897250972;0;0,075719769;0;0;0,007470342;0;0,791239391;0,104507544;0,302783588;0;3,632994935;0
0;0;0,250994044;4,448446031;0,006468502;0;0,042199597;3,02931137;0,275353685;0;0;0,262639923;0;0,10053161;0;0;3,463869686;0;0,180052817;0,897498958;3,000952869;0;0,072188545;0
0;0;0,175205206;4,30316219;0;0;0,050966495;3,137266374;0,289523405;0;0;0,014371248;0;0,019752667;0;0;2,895552915;0;1,77906208;0,520256108;0,395694906;0;0;0
0;0;0,249079855;4,619156993;0,028989653;0,048806673;0,131687109;3,751681946;0,475421496;0;0;0;0;0,064177865;0;0,098778163;4,174013455;0;3,274521285;0,546355529;2,022952611;0;0;0
0;0;0,24585785;4,596870276;0,043775914;0,00935812;0,152128903;3,79314062;0,512089077;0;0;0,135701079;0;0,090408975;0;0,042566965;3,962342296;0;3,225180412;0,340044898;3,224127277;0;0;0
0;0;0,199153014;4,542610316;0,030429486;0;0,125307225;3,739476067;0,450808673;0;0;2,124795595;0;0,072353173;0;0,009054011;4,042625174;0;3,035055133;1,911038495;3,069449404;0;0;0
0;0;0,22060221;4,54738917;0,029895989;0;0,123967522;3,811110554;0,458543248;0;0,030266705;3,257927525;0;0,06979411;0;0;4,161123591;0;2,986375646;2,698933697;2,783155115;0;0;0
0;0;0,212789884;4,464037624;0,013749284;0;0,113927123;3,560410821;0,356737057;0;0,003275874;2,137833557;0;0,050975095;0;0;4,196157227;0;2,899436849;3,040180213;1,891182197;0;0;0
1,764426218;0,206818254;2,093202174;0,374337974;0,299060069;0;2,916319168;1,580655087;0,224074533;3,904287882;0,449791955;0,027486987;0;0,196902546;0,226809135;0;0;0;0;0;0;0;3,75515351;0
1,84803977;0,208630711;2,310592659;0,833960537;0,446901203;0;3,566645158;1,985820434;0,349487763;4,523129719;1,264501647;0,098983222;0,00375476;0,173571115;0,410983488;0;0;0;0;0;0;0;3,637253505;0
1,477981751;0,126604042;2,380706202;1,38028585;0,376268924;0;4,015488993;1,517343994;0,381176412;4,327335515;0,38128178;0,097422431;0;0,187727686;0,209158947;0;0;0;0;0,000610523;0;0;4,140029976;0,056196027
0,788046043;0,08304228;2,091757112;0,632281509;0,326628537;0;3,793264213;1,746001679;0,251334772;4,142562007;0,420257275;0,061587535;0;0,194004966;0,230296131;0;0;0;0;0,020677032;0;0;4,250154865;0,037688208
1,352256032;0,14716184;2,047968115;0,923332606;0,359329209;0;3,659894301;2,33759715;0,427193434;3,89192733;0,28904067;0,086469572;0;0,223613223;0,327665598;0;0;0;0;0,037952485;0;0;4,366219499;1,63149318
1,176989942;0,188721181;2,274849582;0,96681365;0,391098951;0;3,397401042;1,778554762;0,405148733;3,849022023;0,283539996;0,100276466;0;0,292339153;0,338653209;0;0;0;0;0,085105654;0;0;4,518523091;3,045988958
2,170881774;0,690765568;3,30714588;1,441978163;1,140450632;0;3,653310197;2,597105346;0,979461005;3,916843041;0,549536447;0,087224958;0;0,34778996;0,395764479;0;0,069205455;0;0;0,131240236;0;0;4,698211883;2,187303987
1,849512941;0,22362912;2,585157846;0,521081015;0,439143334;0;3,489801238;1,93702799;0,261778102;4,302502198;0,490816512;0,077914174;0;0,239597783;0,307314721;0;0;0;0;0;0;0;4,626438087;0,041299402
1,418500051;0,215115418;2,846221962;0,50030057;0,710581997;0;2,71055271;1,813146856;0,280588203;3,411258227;0,230300033;0,010029886;0;0,362047891;0,284805781;0;0;0;0;0,031366206;0;0;4,598485502;0,03004419
1,097600317;0,132977431;2,346714886;0,910446582;0,437394165;0;3,080252476;2,381809402;0,480721813;2,639532765;0,163635689;0;0;0,438890632;0,411725357;0;0;0;0;0,081960082;0;0;4,560103159;0,077901832
0,884996993;0,216542157;2,464966781;1,507382254;0,515455896;0;2,175931137;1,550061799;0,460118775;3,33715318;0,289181482;0,010657309;0;0,484017382;0,258674569;0;0;0;0;0,06972505;0;0;4,025017756;0,013409164
0;0;0,261823759;4,364219938;0,035113438;0;0,145726228;3,665223811;0,491289584;0;0,071691357;3,618945572;0;0,088016532;0;0;0,06082067;0;1,265410815;0,172204982;2,822859553;0;3,397689871;0
0;0;0,441127668;4,591507654;0,077539552;0;0,119246643;3,506729394;0,379324458;0;0;1,050443686;0;0,073932402;0;0;3,548155904;0;0,482828252;0,624872323;0,053199836;0;2,704493922;0
0;0;0,341730472;4,604557137;0,044093649;0;0,105858921;3,536203032;0,397099126;0;0;2,232675071;0;0,056663325;0;0;3,385915308;0;0,590954607;0,862442497;0,339103231;0;0,123993871;0
0;0;0,379976307;4,823468282;0,076596332;0;0,104105381;3,64415851;0,490146703;0;0;0,261781698;0;0,078367103;0;0;4,096005082;0;1,400443316;0,995337447;0,226633989;0;0,073681552;0
0;0;0,232749809;4,479172522;0,022654109;0;0,102744496;3,576799593;0,461755944;0;0;0;0;0,074013465;0;0,022405315;3,670781416;0;2,994395739;0,287784477;0,56761762;0;0;0
0;0;0,376559105;4,629516833;0,036230052;0;0,075815856;3,391595056;0,360043354;0;0;0,116915228;0;0,090244209;0;0;3,682370009;0;1,232166484;1,755849956;1,559575126;0;0;0
